model,threshold,accuracy,roc_auc,balanced_accuracy,precision,recall,f1
Baseline Logistic Regression,0.5,0.5451,0.5714,0.5747,0.3456,0.6445,0.45
LASSO Logistic Regression with CV,0.49,0.5171,0.5717,0.5606,0.3318,0.6635,0.4423
Decision Tree,0.54,0.5492,0.5492,0.5459,0.3285,0.5379,0.4079
Random Forest,0.47,0.4952,0.572,0.5544,0.3248,0.6943,0.4426
Bernoulli Naive Bayes,0.2,0.4774,0.5759,0.5581,0.3244,0.7488,0.4527
Gradient Boosting,0.27,0.5014,0.5669,0.5474,0.3217,0.6564,0.4318
CatBoost,0.26,0.4959,0.5664,0.557,0.3264,0.7014,0.4454
